symbol,sector,close_now,as_of_date,price_score,ath_proximity_score,sector_flow_score,deal_score,corporate_score,base_score,market_regime,regime_multiplier,bull_run_score,label,trend_signal,driving_participant,ret_30d,ret_90d,ret_365d,vol_ratio
NRBBEARING,AUTO,484.05,2026-08-17,91.37,98.78,37.52,50.0,55.56,68.44,NEUTRAL,0.9,61.6,BULL_RUN,STRONG_UPTREND,RETAIL,14.94,39.54,69.63,1.773
RATNAVEER,METAL,244.87,2026-08-17,95.77,97.76,39.98,47.09,50.0,68.41,NEUTRAL,0.9,61.57,BULL_RUN,STRONG_UPTREND,DII,39.5,38.0,67.03,1.675
POONAWALLA,FINANCIAL_SERVICES,497.45,2026-08-17,75.24,74.42,38.17,96.95,50.0,68.22,NEUTRAL,0.9,61.4,BULL_RUN,STRONG_UPTREND,RETAIL,5.36,20.35,9.89,0.689
AVALON,CAPITAL_GOODS,2059.4,2026-08-17,94.71,97.92,37.1,50.0,50.0,68.18,NEUTRAL,0.9,61.36,BULL_RUN,STRONG_UPTREND,RETAIL,16.51,55.65,144.09,2.049
MOREPENLAB,PHARMA,89.82,2026-08-17,98.44,98.52,34.05,47.09,50.0,68.04,NEUTRAL,0.9,61.24,BULL_RUN,STRONG_UPTREND,RETAIL,47.66,114.16,89.89,1.766
KABRAEXTRU,CAPITAL_GOODS,520.5,2026-08-17,95.26,98.4,37.1,47.09,50.0,67.83,NEUTRAL,0.9,61.05,BULL_RUN,STRONG_UPTREND,RETAIL,57.61,129.36,81.23,0.408
GANDHAR,ENERGY,246.69,2026-08-17,89.28,62.74,35.62,95.84,44.44,67.83,NEUTRAL,0.9,61.05,BULL_RUN,STRONG_UPTREND,DII,16.94,64.48,65.56,0.146
BI,HEALTHCARE,92.17,2026-08-17,88.41,100.0,40.84,50.0,50.0,67.77,NEUTRAL,0.9,60.99,BULL_RUN,INSUFFICIENT_DATA,RETAIL,46.26,42.85,,16.117
HAPPYFORGE,CAPITAL_GOODS,2198.1,2026-08-17,97.96,99.12,37.1,50.0,38.89,67.57,NEUTRAL,0.9,60.81,BULL_RUN,STRONG_UPTREND,RETAIL,36.62,58.52,141.51,1.815
MATRIMONY,RETAIL,543.05,2026-08-17,83.89,89.54,39.26,50.0,72.22,67.57,NEUTRAL,0.9,60.81,BULL_RUN,STRONG_UPTREND,RETAIL,24.2,26.9,7.34,0.196
INDIGOPNTS,CHEMICALS,1161.0,2026-08-17,78.83,72.52,32.75,96.12,50.0,67.49,NEUTRAL,0.9,60.74,BULL_RUN,STRONG_UPTREND,RETAIL,9.03,17.83,5.18,1.571
UNIVCABLES,CAPITAL_GOODS,1724.6,2026-08-17,98.06,94.34,37.1,50.0,44.44,67.47,NEUTRAL,0.9,60.72,BULL_RUN,STRONG_UPTREND,RETAIL,44.08,71.82,135.5,1.204
CYIENTDLM,CAPITAL_GOODS,737.45,2026-08-17,93.62,98.5,37.1,47.09,50.0,67.44,NEUTRAL,0.9,60.7,BULL_RUN,STRONG_UPTREND,RETAIL,25.65,77.17,72.18,0.505
AZAD,CAPITAL_GOODS,2899.9,2026-08-17,94.66,94.2,37.1,50.0,50.0,67.42,NEUTRAL,0.9,60.68,BULL_RUN,STRONG_UPTREND,RETAIL,20.42,38.21,88.97,4.101
NETWEB,FMCG,5212.4,2026-08-17,93.73,97.86,34.44,50.0,50.0,67.39,NEUTRAL,0.9,60.65,BULL_RUN,STRONG_UPTREND,RETAIL,21.1,35.72,127.51,1.072
BAJAJ-AUTO,AUTO,11663.0,2026-08-17,80.77,96.62,37.52,47.09,72.22,67.27,NEUTRAL,0.9,60.54,BULL_RUN,STRONG_UPTREND,RETAIL,12.89,12.39,34.19,0.454
PTCIL,POWER,20584.0,2026-08-17,90.83,98.4,36.59,50.0,50.0,67.21,NEUTRAL,0.9,60.49,BULL_RUN,STRONG_UPTREND,DII,17.27,22.61,47.41,9.694
DOLPHIN,ENERGY,576.85,2026-08-17,94.89,97.02,35.62,47.09,50.0,67.17,NEUTRAL,0.9,60.45,BULL_RUN,STRONG_UPTREND,DII,50.46,39.71,30.86,3.095
EMIL,RETAIL,192.42,2026-08-17,92.89,95.6,39.26,47.09,50.0,67.11,NEUTRAL,0.9,60.4,BULL_RUN,STRONG_UPTREND,RETAIL,45.97,60.5,50.42,0.238
TDPOWERSYS,CAPITAL_GOODS,1548.8,2026-08-17,93.59,97.32,37.1,50.0,44.44,66.95,NEUTRAL,0.9,60.26,BULL_RUN,STRONG_UPTREND,RETAIL,37.41,18.11,210.44,1.434
UTLSOLAR,CAPITAL_GOODS,464.4,2026-08-17,87.98,99.22,37.1,50.0,50.0,66.76,NEUTRAL,0.9,60.08,BULL_RUN,INSUFFICIENT_DATA,RETAIL,27.27,69.18,,3.825
SHANTIGOLD,CAPITAL_GOODS,266.84,2026-08-17,90.34,99.14,37.1,47.09,50.0,66.75,NEUTRAL,0.9,60.08,BULL_RUN,STRONG_UPTREND,RETAIL,25.18,27.55,16.7,3.252
DIVGIITTS,DEFENCE,1284.45,2026-08-17,97.59,94.8,37.11,50.0,38.89,66.61,NEUTRAL,0.9,59.95,EMERGING,STRONG_UPTREND,DII,36.35,93.44,92.05,1.528
KINGFA,CAPITAL_GOODS,6087.5,2026-08-17,89.58,96.38,37.1,50.0,50.0,66.59,NEUTRAL,0.9,59.93,EMERGING,INSUFFICIENT_DATA,RETAIL,19.21,17.59,43.74,7.202
ALPHAGEO,ENERGY,338.36,2026-08-17,96.55,97.4,35.62,50.0,38.89,66.58,NEUTRAL,0.9,59.92,EMERGING,STRONG_UPTREND,DII,68.64,54.32,41.45,3.014
PARAS,DEFENCE,1388.5,2026-08-17,92.59,92.44,37.11,50.0,50.0,66.56,NEUTRAL,0.9,59.9,EMERGING,STRONG_UPTREND,DII,16.0,84.3,113.03,0.889
MANINDS,METAL,630.35,2026-08-17,86.28,97.38,39.98,50.0,50.0,66.54,NEUTRAL,0.9,59.89,EMERGING,STRONG_UPTREND,DII,16.02,12.53,61.32,1.134
PRECWIRE,METAL,457.75,2026-08-17,89.87,92.78,39.98,50.0,50.0,66.52,NEUTRAL,0.9,59.87,EMERGING,STRONG_UPTREND,DII,20.46,21.73,164.21,0.544
SANSERA,AUTO,4002.0,2026-08-17,94.02,98.22,37.52,50.0,38.89,66.49,NEUTRAL,0.9,59.84,EMERGING,STRONG_UPTREND,RETAIL,23.05,67.8,219.5,0.606
TARSONS,HEALTHCARE,361.5,2026-08-17,91.27,92.8,40.84,47.09,50.0,66.46,NEUTRAL,0.9,59.81,EMERGING,STRONG_UPTREND,RETAIL,20.7,74.68,13.88,1.946
LMW,CAPITAL_GOODS,20047.0,2026-08-17,93.55,98.96,37.1,50.0,38.89,66.43,NEUTRAL,0.9,59.79,EMERGING,STRONG_UPTREND,RETAIL,25.53,37.68,37.2,2.912
DECNGOLD,METAL,239.9,2026-08-17,86.28,96.8,39.98,50.0,50.0,66.43,NEUTRAL,0.9,59.79,EMERGING,INSUFFICIENT_DATA,DII,21.12,95.57,,1.4
PRICOLLTD,AUTO,806.55,2026-08-17,92.68,99.42,37.52,50.0,38.89,66.39,NEUTRAL,0.9,59.75,EMERGING,STRONG_UPTREND,RETAIL,29.09,31.21,77.6,0.737
DEEPINDS,ENERGY,680.7,2026-08-17,91.05,94.76,35.62,50.0,50.0,66.34,NEUTRAL,0.9,59.71,EMERGING,STRONG_UPTREND,DII,43.43,52.76,27.88,0.304
YASHO,CHEMICALS,4362.3,2026-08-17,97.03,94.32,32.75,50.0,44.44,66.34,NEUTRAL,0.9,59.71,EMERGING,STRONG_UPTREND,RETAIL,45.39,157.23,140.69,0.726
VARROC,AUTO,847.75,2026-08-17,92.62,93.8,37.52,47.09,50.0,66.34,NEUTRAL,0.9,59.71,EMERGING,STRONG_UPTREND,RETAIL,28.52,51.97,57.34,0.484
AVTNPL,AGRICULTURE,88.1,2026-08-17,91.36,97.98,40.11,50.0,38.89,66.29,NEUTRAL,0.9,59.66,EMERGING,STRONG_UPTREND,DII,25.3,32.24,20.67,10.092
KDDL,FMCG,4084.6,2026-08-17,93.59,96.58,34.44,50.0,44.44,66.27,NEUTRAL,0.9,59.64,EMERGING,STRONG_UPTREND,RETAIL,25.41,81.78,70.33,0.554
AGARWALEYE,HEALTHCARE,501.6,2026-08-17,62.27,76.62,40.84,98.34,50.0,66.23,NEUTRAL,0.9,59.61,EMERGING,UPTREND,RETAIL,1.92,11.44,9.06,0.172
TBOTEK,HOSPITALITY,1700.0,2026-08-17,89.12,92.66,39.46,50.0,50.0,66.2,NEUTRAL,0.9,59.58,EMERGING,STRONG_UPTREND,MIXED,16.95,44.44,23.22,0.914
SAHYADRI,CHEMICALS,388.15,2026-08-17,93.74,93.54,32.75,50.0,50.0,66.19,NEUTRAL,0.9,59.57,EMERGING,STRONG_UPTREND,RETAIL,37.28,23.65,49.86,4.538
VINDHYATEL,TELECOM,2486.6,2026-08-17,94.11,91.28,38.32,50.0,44.44,66.11,NEUTRAL,0.9,59.5,EMERGING,STRONG_UPTREND,DII,34.97,56.32,68.01,0.527
MPSLTD,HEALTHCARE,2814.8,2026-08-17,90.48,88.98,40.84,50.0,50.0,66.08,NEUTRAL,0.9,59.47,EMERGING,STRONG_UPTREND,RETAIL,36.66,53.58,30.87,0.118
SENORES,PHARMA,1545.7,2026-08-17,86.93,99.48,34.05,50.0,50.0,65.94,NEUTRAL,0.9,59.35,EMERGING,STRONG_UPTREND,RETAIL,6.39,47.16,118.55,1.258
QUESS,OTHER,343.9,2026-08-17,88.09,96.8,42.21,47.09,44.44,65.91,NEUTRAL,0.9,59.32,EMERGING,STRONG_UPTREND,RETAIL,17.17,69.43,29.02,0.325
TVSSRICHAK,AUTO,4868.9,2026-08-17,92.13,97.72,37.52,50.0,38.89,65.91,NEUTRAL,0.9,59.32,EMERGING,STRONG_UPTREND,RETAIL,16.13,35.5,70.32,5.484
UJJIVANSFB,BANKING,72.21,2026-08-17,84.91,97.06,38.23,50.0,50.0,65.79,NEUTRAL,0.9,59.21,EMERGING,STRONG_UPTREND,DII,10.04,29.34,68.75,0.371
SUNDRMFAST,AUTO,1214.75,2026-08-17,90.14,95.4,37.52,50.0,44.44,65.78,NEUTRAL,0.9,59.2,EMERGING,STRONG_UPTREND,RETAIL,25.19,42.66,25.17,0.686
KAPSTON,OTHER,522.7,2026-08-17,96.6,74.24,42.21,50.0,55.56,65.77,NEUTRAL,0.9,59.19,EMERGING,INSUFFICIENT_DATA,RETAIL,24.39,59.46,114.83,3.181
AYMSYNTEX,TEXTILES,271.9,2026-08-17,87.35,93.38,38.69,50.0,50.0,65.75,NEUTRAL,0.9,59.18,EMERGING,STRONG_UPTREND,RETAIL,15.25,19.23,42.89,1.171
UCAL,AUTO,151.87,2026-08-17,90.77,90.2,37.52,50.0,50.0,65.74,NEUTRAL,0.9,59.17,EMERGING,STRONG_UPTREND,RETAIL,24.28,46.42,10.58,10.951
ATHERENERG,AUTO,1485.2,2026-08-17,92.0,88.0,37.52,50.0,50.0,65.6,NEUTRAL,0.9,59.04,EMERGING,STRONG_UPTREND,RETAIL,17.21,58.44,244.19,0.537
SJS,AUTO,2534.5,2026-08-17,92.45,95.72,37.52,50.0,38.89,65.59,NEUTRAL,0.9,59.03,EMERGING,STRONG_UPTREND,RETAIL,18.5,33.21,86.2,1.467
SEDEMAC,AUTO,3240.2,2026-08-17,83.97,97.96,37.52,50.0,50.0,65.59,NEUTRAL,0.9,59.03,EMERGING,INSUFFICIENT_DATA,RETAIL,19.25,63.48,,0.882
MACPOWER,CAPITAL_GOODS,1781.4,2026-08-17,95.03,92.58,37.1,50.0,38.89,65.53,NEUTRAL,0.9,58.98,EMERGING,STRONG_UPTREND,RETAIL,33.48,63.69,118.15,0.53
SHILPAMED,PHARMA,809.3,2026-08-17,83.62,96.1,34.05,47.09,61.11,65.52,NEUTRAL,0.9,58.97,EMERGING,STRONG_UPTREND,RETAIL,26.88,69.17,,0.26
INDSWFTLAB,PHARMA,313.02,2026-08-17,88.49,95.34,34.05,50.0,50.0,65.5,NEUTRAL,0.9,58.95,EMERGING,STRONG_UPTREND,RETAIL,33.83,133.79,,1.882
WELCORP,METAL,1882.0,2026-08-17,87.84,98.52,39.98,50.0,38.89,65.49,NEUTRAL,0.9,58.94,EMERGING,STRONG_UPTREND,DII,11.76,43.77,115.25,0.288
RAYMOND,REALTY,647.85,2026-08-17,79.41,99.68,40.96,50.0,50.0,65.48,NEUTRAL,0.9,58.93,EMERGING,STRONG_UPTREND,DII,5.57,42.84,4.69,2.182
DALMIASUG,FMCG,459.6,2026-08-17,91.62,97.94,34.44,47.09,44.44,65.46,NEUTRAL,0.9,58.91,EMERGING,STRONG_UPTREND,RETAIL,26.35,34.35,23.76,1.632
SONACOMS,AUTO,805.1,2026-08-17,91.14,92.4,37.52,50.0,44.44,65.44,NEUTRAL,0.9,58.9,EMERGING,STRONG_UPTREND,RETAIL,17.81,40.37,77.45,0.749
MOTHERSON,CAPITAL_GOODS,168.06,2026-08-17,88.71,95.42,37.1,50.0,44.44,65.35,NEUTRAL,0.9,58.82,EMERGING,STRONG_UPTREND,RETAIL,16.99,29.36,80.79,0.362
MANORAMA,FMCG,1943.4,2026-08-17,93.94,90.24,34.44,47.09,50.0,65.34,NEUTRAL,0.9,58.81,EMERGING,STRONG_UPTREND,RETAIL,21.81,48.85,41.66,9.395
RKFORGE,AUTO,755.0,2026-08-17,89.44,97.78,37.52,50.0,38.89,65.25,NEUTRAL,0.9,58.72,EMERGING,STRONG_UPTREND,RETAIL,28.03,31.54,33.6,0.448
UNIPARTS,AUTO,801.15,2026-08-17,91.43,90.98,37.52,50.0,44.44,65.22,NEUTRAL,0.9,58.7,EMERGING,STRONG_UPTREND,RETAIL,14.76,49.15,104.22,0.962
VSSL,METAL,361.55,2026-08-17,91.6,92.34,39.98,50.0,38.89,65.2,NEUTRAL,0.9,58.68,EMERGING,STRONG_UPTREND,DII,21.57,28.99,45.46,1.426
RRKABEL,CAPITAL_GOODS,2748.6,2026-08-17,89.87,93.02,37.1,50.0,44.44,65.16,NEUTRAL,0.9,58.64,EMERGING,STRONG_UPTREND,RETAIL,14.34,40.68,130.18,0.46
SGMART,METAL,752.3,2026-08-17,79.69,98.66,39.98,50.0,50.0,65.15,NEUTRAL,0.9,58.64,EMERGING,STRONG_UPTREND,DII,18.31,25.54,,0.458
WELSPUNLIV,TEXTILES,168.15,2026-08-17,75.09,88.94,38.69,50.0,72.22,65.13,NEUTRAL,0.9,58.62,EMERGING,STRONG_UPTREND,RETAIL,2.03,19.24,47.14,2.064
CHENNPETRO,METAL,1382.4,2026-08-17,89.12,90.8,39.98,50.0,44.44,65.1,NEUTRAL,0.9,58.59,EMERGING,STRONG_UPTREND,DII,11.41,37.01,112.71,0.793
TI,FMCG,580.55,2026-08-17,90.39,98.9,34.44,50.0,38.89,65.1,NEUTRAL,0.9,58.59,EMERGING,STRONG_UPTREND,RETAIL,30.71,34.56,22.52,0.762
KWIL,FMCG,38.79,2026-08-17,85.4,96.66,34.44,50.0,50.0,65.07,NEUTRAL,0.9,58.56,EMERGING,INSUFFICIENT_DATA,RETAIL,18.84,46.93,,5.749
MMFL,AUTO,632.3,2026-08-17,94.48,90.46,37.52,50.0,38.89,65.05,NEUTRAL,0.9,58.54,EMERGING,STRONG_UPTREND,RETAIL,20.64,41.79,96.09,2.425
MMP,METAL,350.0,2026-08-17,89.98,93.58,39.98,50.0,38.89,65.04,NEUTRAL,0.9,58.54,EMERGING,STRONG_UPTREND,DII,23.07,27.56,27.67,1.087
LAURUSLABS,PHARMA,1809.7,2026-08-17,91.23,93.46,34.05,50.0,44.44,64.98,NEUTRAL,0.9,58.48,EMERGING,STRONG_UPTREND,RETAIL,16.19,36.73,108.33,0.765
KANPRPLA,CHEMICALS,262.85,2026-08-17,92.45,93.14,32.75,50.0,44.44,64.96,NEUTRAL,0.9,58.46,EMERGING,STRONG_UPTREND,RETAIL,33.51,31.49,26.53,1.814
CUPID,FMCG,267.32,2026-08-17,95.83,78.8,34.44,50.0,55.56,64.94,NEUTRAL,0.9,58.45,EMERGING,STRONG_UPTREND,RETAIL,25.51,122.1,57.28,1.741
LUMAXTECH,AUTO,2049.0,2026-08-17,91.02,94.22,37.52,50.0,38.89,64.94,NEUTRAL,0.9,58.45,EMERGING,STRONG_UPTREND,RETAIL,40.45,25.24,80.24,0.295
NELCO,IT,1081.5,2026-08-17,94.07,93.12,37.5,47.09,38.89,64.89,NEUTRAL,0.9,58.4,EMERGING,STRONG_UPTREND,RETAIL,24.9,60.96,32.89,2.026
GKSL,HEALTHCARE,151.36,2026-08-17,78.51,97.86,40.84,50.0,50.0,64.87,NEUTRAL,0.9,58.38,EMERGING,INSUFFICIENT_DATA,RETAIL,17.53,10.3,,8.282
SCPL,OTHER,657.95,2026-08-17,82.81,91.0,42.21,50.0,50.0,64.84,NEUTRAL,0.9,58.36,EMERGING,INSUFFICIENT_DATA,RETAIL,39.78,,167.4,0.353
ALIVUS,PHARMA,1394.4,2026-08-17,91.03,96.68,34.05,50.0,38.89,64.74,NEUTRAL,0.9,58.27,EMERGING,STRONG_UPTREND,RETAIL,19.78,33.49,47.01,0.983
UNIMECH,DEFENCE,1511.3,2026-08-17,83.67,94.38,37.11,50.0,50.0,64.72,NEUTRAL,0.9,58.25,EMERGING,STRONG_UPTREND,DII,16.53,60.57,,1.121
UFLEX,CHEMICALS,586.05,2026-08-17,92.04,99.34,32.75,47.09,38.89,64.68,NEUTRAL,0.9,58.21,EMERGING,STRONG_UPTREND,RETAIL,33.28,46.2,11.36,4.133
RADICO,FMCG,4693.4,2026-08-17,87.79,100.0,34.44,50.0,38.89,64.67,NEUTRAL,0.9,58.2,EMERGING,STRONG_UPTREND,RETAIL,14.31,34.13,61.59,0.455
SBCL,METAL,1024.6,2026-08-17,93.91,85.44,39.98,47.09,44.44,64.65,NEUTRAL,0.9,58.19,EMERGING,STRONG_UPTREND,DII,41.83,70.41,97.59,0.18
KPL,PHARMA,3598.1,2026-08-17,87.61,92.2,34.05,50.0,50.0,64.65,NEUTRAL,0.9,58.19,EMERGING,INSUFFICIENT_DATA,RETAIL,27.73,109.36,,1.455
LENSKART,RETAIL,607.6,2026-08-17,81.92,93.82,39.26,50.0,50.0,64.6,NEUTRAL,0.9,58.14,EMERGING,STRONG_UPTREND,RETAIL,13.86,29.48,,3.449
KEI,CAPITAL_GOODS,5873.0,2026-08-17,85.56,99.76,37.1,50.0,38.89,64.6,NEUTRAL,0.9,58.14,EMERGING,STRONG_UPTREND,RETAIL,15.71,14.76,51.57,0.699
MODTHREAD,TEXTILES,57.64,2026-08-17,87.37,87.44,38.69,50.0,50.0,64.57,NEUTRAL,0.9,58.11,EMERGING,STRONG_UPTREND,RETAIL,23.88,25.28,4.72,19.898
TVSMOTOR,AUTO,4385.9,2026-08-17,87.86,96.02,37.52,50.0,38.89,64.51,NEUTRAL,0.9,58.06,EMERGING,STRONG_UPTREND,RETAIL,23.08,26.51,34.03,0.429
ASIANENE,ENERGY,425.25,2026-08-17,88.65,96.88,35.62,50.0,38.89,64.5,NEUTRAL,0.9,58.05,EMERGING,STRONG_UPTREND,DII,16.46,35.67,15.59,3.581
SKYGOLD,FMCG,776.4,2026-08-17,93.95,83.12,34.44,50.0,50.0,64.5,NEUTRAL,0.9,58.05,EMERGING,STRONG_UPTREND,RETAIL,24.73,74.0,154.72,0.459
RUBICON,PHARMA,1798.7,2026-08-17,88.18,98.98,34.05,50.0,38.89,64.48,NEUTRAL,0.9,58.03,EMERGING,STRONG_UPTREND,RETAIL,26.76,87.18,,8.993
RISHABH,CAPITAL_GOODS,694.6,2026-08-17,85.82,98.82,37.1,50.0,38.89,64.47,NEUTRAL,0.9,58.02,EMERGING,INSUFFICIENT_DATA,RETAIL,5.32,45.04,68.76,5.027
RPEL,CAPITAL_GOODS,1430.1,2026-08-17,89.48,94.18,37.1,50.0,38.89,64.46,NEUTRAL,0.9,58.01,EMERGING,STRONG_UPTREND,RETAIL,9.72,73.24,149.08,0.597
OBEROIRLTY,REALTY,1931.0,2026-08-17,76.12,94.46,40.96,50.0,55.56,64.45,NEUTRAL,0.9,58.0,EMERGING,STRONG_UPTREND,DII,3.75,19.4,17.87,4.751
SREEL,FMCG,260.75,2026-08-17,90.7,94.98,34.44,50.0,38.89,64.39,NEUTRAL,0.9,57.95,EMERGING,STRONG_UPTREND,RETAIL,23.61,37.24,14.07,3.9
UGARSUGAR,FMCG,52.18,2026-08-17,91.78,93.62,34.44,50.0,38.89,64.39,NEUTRAL,0.9,57.95,EMERGING,STRONG_UPTREND,RETAIL,31.44,25.13,25.77,3.61
FILATEX,TEXTILES,82.72,2026-08-17,88.82,93.04,38.69,50.0,38.89,64.38,NEUTRAL,0.9,57.94,EMERGING,STRONG_UPTREND,RETAIL,13.16,95.19,58.74,0.313
SANGHVIMOV,CAPITAL_GOODS,506.95,2026-08-17,90.85,92.02,37.1,50.0,38.89,64.37,NEUTRAL,0.9,57.93,EMERGING,STRONG_UPTREND,RETAIL,17.69,67.48,46.62,0.558
AUROPHARMA,PHARMA,1627.2,2026-08-17,75.42,93.44,34.05,50.0,66.67,64.35,NEUTRAL,0.9,57.92,EMERGING,STRONG_UPTREND,RETAIL,5.09,7.63,55.62,0.967
MARKSANS,PHARMA,331.45,2026-08-17,95.57,91.86,34.05,47.09,38.89,64.33,NEUTRAL,0.9,57.9,EMERGING,STRONG_UPTREND,RETAIL,20.37,59.77,91.29,2.48
SETL,CAPITAL_GOODS,308.7,2026-08-17,79.92,97.06,37.1,50.0,50.0,64.31,NEUTRAL,0.9,57.88,EMERGING,INSUFFICIENT_DATA,RETAIL,7.09,126.44,,2.944
FINCABLES,CAPITAL_GOODS,1320.85,2026-08-17,92.74,92.26,37.1,47.09,38.89,64.31,NEUTRAL,0.9,57.88,EMERGING,STRONG_UPTREND,RETAIL,26.04,25.69,60.68,1.337
MUFIN,FINANCIAL_SERVICES,135.87,2026-08-17,81.36,94.12,38.17,50.0,50.0,64.3,NEUTRAL,0.9,57.87,EMERGING,STRONG_UPTREND,RETAIL,6.74,20.55,60.3,0.715
ACSTECH,CEMENT,50.92,2026-08-17,83.16,90.14,39.87,50.0,50.0,64.29,NEUTRAL,0.9,57.86,EMERGING,INSUFFICIENT_DATA,DII,16.79,47.55,,0.863
COMSYN,AUTO,281.69,2026-08-17,94.87,89.06,37.52,47.09,38.89,64.28,NEUTRAL,0.9,57.85,EMERGING,INSUFFICIENT_DATA,RETAIL,49.96,84.06,108.92,0.27
FEDERALBNK,BANKING,354.1,2026-08-17,84.06,90.52,38.23,50.0,50.0,64.26,NEUTRAL,0.9,57.83,EMERGING,UPTREND,DII,8.42,25.88,83.99,0.548
PGIL,TEXTILES,2378.0,2026-08-17,89.58,87.28,38.69,50.0,44.44,64.26,NEUTRAL,0.9,57.83,EMERGING,STRONG_UPTREND,RETAIL,16.08,42.26,86.09,0.371
BOSCH-HCIL,FMCG,1700.4,2026-08-17,83.54,94.88,34.44,50.0,50.0,64.25,NEUTRAL,0.9,57.82,EMERGING,INSUFFICIENT_DATA,RETAIL,27.64,22.71,,1.134
QMSMEDI,OTHER,138.13,2026-08-17,75.24,97.32,42.21,50.0,50.0,64.22,NEUTRAL,0.9,57.8,EMERGING,INSUFFICIENT_DATA,RETAIL,25.3,,,3.808
PVRINOX,MEDIA,1192.0,2026-08-17,81.19,90.76,41.2,50.0,50.0,64.19,NEUTRAL,0.9,57.77,EMERGING,STRONG_UPTREND,RETAIL,18.52,18.03,4.63,0.505
KMEW,INFRASTRUCTURE,2756.5,2026-08-17,90.87,83.78,40.08,50.0,44.44,64.16,NEUTRAL,0.9,57.74,EMERGING,STRONG_UPTREND,DII,13.38,39.37,42.24,5.412
ATALREAL,REALTY,35.85,2026-08-17,79.62,95.36,40.96,47.09,50.0,64.09,NEUTRAL,0.9,57.68,EMERGING,STRONG_UPTREND,DII,17.0,24.87,,0.526
TIIL,METAL,3097.2,2026-08-17,90.86,87.72,39.98,50.0,38.89,64.09,NEUTRAL,0.9,57.68,EMERGING,STRONG_UPTREND,DII,26.22,28.64,22.83,1.69
DHAMPURSUG,FMCG,170.87,2026-08-17,89.26,95.14,34.44,50.0,38.89,64.06,NEUTRAL,0.9,57.65,EMERGING,STRONG_UPTREND,RETAIL,19.06,20.64,33.71,2.563
SHRIRAMFIN,FINANCIAL_SERVICES,1122.0,2026-08-17,83.41,94.5,38.17,50.0,44.44,64.05,NEUTRAL,0.9,57.64,EMERGING,STRONG_UPTREND,RETAIL,9.53,19.63,88.67,0.384
CRAFTSMAN,AUTO,10480.0,2026-08-17,86.94,94.76,37.52,50.0,38.89,64.02,NEUTRAL,0.9,57.62,EMERGING,STRONG_UPTREND,RETAIL,15.15,23.84,46.41,0.76
MODIS,REALTY,415.6,2026-08-17,80.35,93.74,40.96,47.09,50.0,63.95,NEUTRAL,0.9,57.56,EMERGING,INSUFFICIENT_DATA,DII,20.41,14.55,,1.403
DREDGECORP,INFRASTRUCTURE,1160.5,2026-08-17,89.26,80.48,40.08,50.0,50.0,63.93,NEUTRAL,0.9,57.54,EMERGING,STRONG_UPTREND,DII,13.15,33.57,92.77,0.657
MAXESTATES,REALTY,474.35,2026-08-17,81.82,88.92,40.96,50.0,50.0,63.93,NEUTRAL,0.9,57.54,EMERGING,STRONG_UPTREND,DII,13.3,17.15,3.46,7.11
